id	title	name_src	type	aat_type	ccodes	lon	lat	geom_src	close_match
1000001	Mexico	gerhardNE	Ciudad	inhabited place	["MX"]	-99.13313445	19.43378643	gerhardNE	["http://vocab.getty.edu/page/tgn/7007227"]
1000002	Guadalajara	gerhard-north	Ciudad	inhabited place	["MX"]	-103.346998	20.676143	gerhard-north	["http://www.geonames.org/4005539", "http://www.wikidata.org/entity/Q9022", "http://vocab.getty.edu/page/tgn/7007110"]
1000003	Chihuahua	gerhard-north	Villa	inhabited place	["MX"]	-106.083947	28.654323	gerhard-north	["http://vocab.getty.edu/page/tgn/1017179", "http://www.wikidata.org/entity/Q61302", "http://www.geonames.org/4014338"]
1000004	Durango	gerhard-north	Ciudad	inhabited place	["MX"]	-104.66986	24.02484	gerhard-north	["http://www.wikidata.org/entity/Q112813", "http://www.geonames.org/4011743", "http://vocab.getty.edu/page/tgn/1017362"]
1000005	Real de Guanajuato	gerhardNE	Villa	inhabited place	["MX"]	-101.25272	21.01661	gerhardNE	["http://vocab.getty.edu/page/tgn/1017522"]
1000006	Acapulco	gerhardNE	Poblacion	inhabited place	["MX"]	-99.90849	16.84865	gerhardNE	["http://www.geonames.org/3533462", "http://vocab.getty.edu/page/tgn/7007127", "http://www.wikidata.org/entity/Q81398"]
1000007	Pachuca	gerhardNE	Villa	inhabited place	["MX"]	-98.733139	20.121599	gerhardNE	["http://www.wikidata.org/entity/Q160750", "http://www.geonames.org/3522210", "http://vocab.getty.edu/page/tgn/1017980"]
1000008	Valladolid	tanck	Ciudad	inhabited place	["MX"]	-101.184722	19.703889	tanck	["http://vocab.getty.edu/page/tgn/1017886"]
1000009	Compostela	gerhard-north	Ciudad	inhabited place	["MX"]	-104.901177	21.23789	gerhard-north	["http://vocab.getty.edu/page/tgn/1017277"]
1000010	San Luis Rey de Francia	gerhard-north	Villa	inhabited place	["MX"]	-100.309982	25.670971	gerhard-north	["http://www.wikidata.org/entity/Q81033", "http://www.geonames.org/3995465", "http://vocab.getty.edu/page/tgn/7007115"]
1000011	San Felipe de Linares	gerhard-north	Villa	inhabited place	["MX"]	-99.5684	24.859681	gerhard-north	["http://www.wikidata.org/entity/Q991413", "http://www.geonames.org/3524348", "http://vocab.getty.edu/page/tgn/1017770"]
1000012	Santa Fe	gerhard-north	Villa	inhabited place	["US"]	-105.9385061	35.6875045	gerhard-north	["http://vocab.getty.edu/page/tgn/7013950", "http://www.wikidata.org/entity/Q38555", "http://www.geonames.org/5490263"]
1000013	Santander	gerhard-north	Villa	inhabited place	["MX"]	-98.485176	24.216753	gerhard-north	
1000014	Antequera	gerhardNE	Ciudad	inhabited place	["MX"]	-96.7189	17.06971	gerhardNE	
1000015	Puebla de los Angeles	gerhardNE	Ciudad	inhabited place	["MX"]	-98.19804	19.04259	gerhardNE	["http://vocab.getty.edu/page/tgn/7007118", "http://www.wikidata.org/entity/Q7258412", "http://www.geonames.org/8583159"]
1000016	San Luis Potosi	gerhardNE	Ciudad	inhabited place	["MX"]	-100.97581	22.15153	gerhardNE	
1000017	Arizpe	gerhard-north	Ciudad	inhabited place	["MX"]	-110.166305	30.336025	gerhard-north	["http://www.geonames.org/4018238", "http://www.wikidata.org/entity/Q614445", "http://vocab.getty.edu/page/tgn/1017023"]
1000018	Villahermosa	gerhardSE	Poblacion	inhabited place	["MX"]	-92.92814	17.99173	gerhardSE	["http://www.geonames.org/3514670", "http://www.wikidata.org/entity/Q210886", "http://vocab.getty.edu/page/tgn/7007122"]
1000019	San Antonio de Bexar	gerhard-north	Fuerte	fortification	["US"]	-98.49511192	29.42457099	gerhard-north	["http://vocab.getty.edu/page/tgn/7014453", "http://www.geonames.org/4726206", "http://www.wikidata.org/entity/Q975"]
1000020	Tlaxcala	gerhardNE	Pueblo	inhabited place	["MX"]	-98.2381	19.31705	gerhardNE	["http://www.wikidata.org/entity/Q614072"]
1000021	Villa Rica de la Veracruz	gerhardNE	Villa	inhabited place	["MX"]	-96.137751	19.193327	gerhardNE	["http://www.geonames.org/3514783", "http://www.wikidata.org/entity/Q173270", "http://vocab.getty.edu/page/tgn/1018594"]
1000022	Merida	gerhardSE	Ciudad	inhabited place	["MX"]	-89.623222	20.966709	gerhardSE	
1000023	Valladolid	MP-Mexico_756	Villa	inhabited place	["MX"]	-88.15940528	20.66971626	MP-Mexico_756	["http://vocab.getty.edu/page/tgn/1018575"]
1000024	Zacatecas	gerhard-north	Ciudad	inhabited place	["MX"]	-102.57148	22.7758	gerhard-north	["http://www.wikidata.org/entity/Q139242", "http://vocab.getty.edu/page/tgn/1018666", "http://www.geonames.org/3979844"]
1000025	Loreto	gerhard-north	Pueblo	inhabited place	["MX"]	-111.350853	26.00964	gerhard-north	
1000026	San Pedro Batopilas	gerhard-north	Poblacion	inhabited place	["MX"]	-107.739428	27.026248	gerhard-north	["http://www.geonames.org/4017270", "http://vocab.getty.edu/page/tgn/4001277", "http://www.wikidata.org/entity/Q2651150"]
1000027	Cerro Gordo	gerhard-north	Poblacion	inhabited place	["MX"]	-104.914429	26.248791	gerhard-north	["http://vocab.getty.edu/page/tgn/7432513", "http://www.geonames.org/3980166", "http://www.wikidata.org/entity/Q2120791"]
1000028	Sianori	gerhard-north	Poblacion	inhabited place	["MX"]	-106.7755	25.2032	gerhard-north	
1000029	Cienega de los Olivos	gerhard-north	Poblacion	inhabited place	["MX"]	-106.283333	27.2	gerhard-north	["http://vocab.getty.edu/page/tgn/1018581"]
1000030	San Francisco Conchos	tanck	Poblacion	inhabited place	["MX"]	-105.335278	27.588333	tanck	["http://vocab.getty.edu/page/tgn/7359998"]
1000031	San Antonio Cuencame	gerhard-north	Poblacion	inhabited place	["MX"]	-103.697968	24.869985	gerhard-north	["http://vocab.getty.edu/page/tgn/1017326"]
1000032	Santa Rosa Cusihuiriachi	gerhard-north	Poblacion	inhabited place	["MX"]	-106.8373572	28.24182792	gerhard-north	["http://www.wikidata.org/entity/Q2652340", "http://www.geonames.org/4012092"]
1000033	Guanacevi	gerhard-north	Poblacion	inhabited place	["MX"]	-105.956528	25.932659	gerhard-north	
1000034	San Pedro Guarisamey	tanck	Pueblo	inhabited place	["MX"]	-105.891111	24.129722	tanck	["http://vocab.getty.edu/page/tgn/7370047"]
1000035	Santiago Mapimi	gerhard-north	Poblacion	inhabited place	["MX"]	-103.847778	25.833056	gerhard-north	
1000036	San Francisco Mezquital	tanck	Pueblo	inhabited place	["MX"]	-104.395556	23.474167	tanck	["http://vocab.getty.edu/page/tgn/1017859"]
1000038	Santiago Papasquiaro	tanck	Pueblo	inhabited place	["MX"]	-105.420278	25.045	tanck	["http://www.geonames.org/3983631", "http://vocab.getty.edu/page/tgn/7397120", "http://www.wikidata.org/entity/Q2465593"]
1000039	Parral	gerhard-north	Villa	inhabited place	["MX"]	-105.66316	26.93301	gerhard-north	["http://vocab.getty.edu/page/tgn/1017546", "http://www.wikidata.org/entity/Q771214", "http://www.geonames.org/4004867"]
1000040	Santa Maria Parras	tanck	Poblacion	inhabited place	["MX"]	-102.1825	25.440278	tanck	["http://vocab.getty.edu/page/tgn/1018005"]
1000041	Real de las Mercedes del Oro	gerhard-north	Poblacion	inhabited place	["MX"]	-105.36771	25.95413	gerhard-north	
1000042	Saltillo	gerhard-north	Villa	inhabited place	["MX"]	-100.99961	25.42158	gerhard-north	["http://vocab.getty.edu/page/tgn/7007120", "http://www.geonames.org/3988086", "http://www.wikidata.org/entity/Q53077"]
1000043	San Gregorio de Bozas	tanck	Pueblo	inhabited place	["MX"]	-106.200833	24.840556	tanck	["http://vocab.getty.edu/page/tgn/7394358"]
1000044	Valle de San Buenaventura	gerhard-north	Poblacion	inhabited place	["MX"]	-107.4565	29.8432	gerhard-north	
1000045	San Juan del Rio	gerhard-north	Poblacion	inhabited place	["MX"]	-104.470261	24.78405	gerhard-north	
1000046	Santa Barbara	gerhard-north	Villa	inhabited place	["MX"]	-105.819168	26.803909	gerhard-north	
1000047	valle de San Bartolome	gerhard-north	Poblacion	inhabited place	["MX"]	-105.393738	26.93745	gerhard-north	["http://www.geonames.org/3980627", "http://vocab.getty.edu/page/tgn/7435198", "http://www.wikidata.org/entity/Q616757"]
1000048	Asuncion Acaponeta	tanck	Pueblo	inhabited place	["MX"]	-105.360556	22.492222	tanck	["http://www.geonames.org/4019819", "http://www.wikidata.org/entity/Q429995", "http://vocab.getty.edu/page/tgn/1016929"]
1000049	San Juan Evangelista Ahuacatlan	tanck	Pueblo	inhabited place	["MX"]	-104.484167	21.054167	tanck	
1000050	San Salvador Autlan	tanck	Pueblo	inhabited place	["MX"]	-104.369444	19.770833	tanck	
1000051	San Antonio Bolaños	gerhard-north	Poblacion	inhabited place	["MX"]	-103.780998	21.831101	gerhard-north	["http://www.geonames.org/8860177", "http://www.wikidata.org/entity/Q20241331", "http://vocab.getty.edu/page/tgn/1017078"]
1000052	San Felipe Cuquio	tanck	Pueblo	inhabited place	["MX"]	-103.023333	20.927778	tanck	
1000053	San Francisco Ahualulco	tanck	Pueblo	inhabited place	["MX"]	-103.976111	20.700278	tanck	["http://vocab.getty.edu/page/tgn/1016960"]
1000054	Guachinango	gerhard-north	Poblacion	inhabited place	["MX"]	-104.382004	20.576401	gerhard-north	["http://vocab.getty.edu/page/tgn/1017511", "http://www.wikidata.org/entity/Q3098815", "http://www.geonames.org/4005548"]
1000055	San Sebastian	gerhard-north	Poblacion	inhabited place	["MX"]	-104.6442	20.9298	gerhard-north	
1000056	Hostotipaquillo	gerhard-north	Poblacion	inhabited place	["MX"]	-104.050003	21.059799	gerhard-north	["http://vocab.getty.edu/page/tgn/1017553"]
1000057	Santa Monica La Barca	tanck	Pueblo	inhabited place	["MX"]	-102.549722	20.277222	tanck	["http://vocab.getty.edu/page/tgn/1017677", "http://www.wikidata.org/entity/Q20244479", "http://www.geonames.org/4003526"]
1000058	Lagos	gerhard-north	Villa	inhabited place	["MX"]	-101.932869	21.35755	gerhard-north	
1000059	San Blas	gerhard-north	Poblacion	inhabited place	["MX"]	-105.285294	21.54114	gerhard-north	
1000060	San Cristobal de La Barranca	tanck	Pueblo	inhabited place	["MX"]	-103.428333	21.043889	tanck	
1000061	Santa Maria del Oro	tanck	Pueblo	inhabited place	["MX"]	-104.588056	21.333611	tanck	
1000062	San Francisco Sayula	gerhard-north	Poblacion	inhabited place	["MX"]	-103.600016	19.881659	gerhard-north	["http://vocab.getty.edu/page/tgn/1018342", "http://www.geonames.org/8582182", "http://www.wikidata.org/entity/Q3311403"]
1000063	Asuncion Sentispac	tanck	Pueblo	inhabited place	["MX"]	-105.346111	21.805	tanck	["http://vocab.getty.edu/page/tgn/7437638"]
1000064	San Francisco Tala	tanck	Pueblo	inhabited place	["MX"]	-103.701111	20.648333	tanck	["http://vocab.getty.edu/page/tgn/1018370"]
1000065	San Francisco Tepatitlan	tanck	Pueblo	inhabited place	["MX"]	-102.761111	20.816667	tanck	["http://vocab.getty.edu/page/tgn/1018446"]
1000066	Santa Cruz Tepic	tanck	Pueblo	inhabited place	["MX"]	-104.893889	21.516111	tanck	["http://www.wikidata.org/entity/Q207972", "http://vocab.getty.edu/page/tgn/7016829", "http://www.geonames.org/3981941"]
1000067	Santiago Tequila	tanck	Pueblo	inhabited place	["MX"]	-103.836218	20.885059	tanck	["http://vocab.getty.edu/page/tgn/1018461", "http://www.wikidata.org/entity/Q847764", "http://www.geonames.org/3981885"]
1000068	Santiago Tlajomulco	tanck	Pueblo	inhabited place	["MX"]	-103.4466	20.4745	tanck	["http://vocab.getty.edu/page/tgn/1018497"]
1000069	Santiago Tomatlan	tanck	Pueblo	inhabited place	["MX"]	-105.248611	19.940833	tanck	
1000070	Santiago Tonala	tanck	Pueblo	inhabited place	["MX"]	-103.241111	20.623611	tanck	
1000071	San Antonio Tuxcacuesco	tanck	Pueblo	inhabited place	["MX"]	-103.982778	19.696944	tanck	["http://vocab.getty.edu/page/tgn/7433016", "http://www.geonames.org/8582206", "http://www.wikidata.org/entity/Q2918021"]
1000072	Asuncion Zapotlan	tanck	Pueblo	inhabited place	["MX"]	-103.4625	19.702778	tanck	
1000073	Celaya	gerhardNE	Ciudad	inhabited place	["MX"]	-100.815215	20.52482934	gerhardNE	["http://vocab.getty.edu/page/tgn/1017137", "http://www.wikidata.org/entity/Q580649", "http://www.geonames.org/4014875"]
