id	title	name_src	type	aat_type	parent	close_match
00005	Abbots	alcedo	rio	rivers		
00006	Abacachis	alcedo	pueblo	towns	País de las Amazonas	
00007	Abacoa	alcedo				
00008	Abacqua	alcedo	pueblo	towns	Buenos Ayres	[https://www.hgis-indias.net/dokuwiki/doku.php?id=9000431]
00009	Abacu	alcedo	punta	capes		
00010	Abades	alcedo	pueblo	towns	Popayan	[https://www.hgis-indias.net/dokuwiki/doku.php?id=5600547]
00011	Abancay	alcedo	provincia	provinces	Andahuailas	
00012	Abancay	alcedo	pueblo	towns	Perú	
00013	Abancay	alcedo	pueblo	towns	Corregimiento de Cuenca	
00014	Abanes	alcedo	nación de indios	cultural groups	nuevo Reyno de Granada	
00015	Abangoui	alcedo	pueblo	towns	Paraguay	
00016	Abaranquen	alcedo	rio	rivers	Guayana ó Nueva Andalucía	
00017	Abecochi	alcedo	pueblo	towns		
00018	Abeicas	alcedo	nación de indios	cultural groups		
00019	Abercorn	alcedo	pueblo	towns		
00020	Abide	alcedo	montaña	mountains	Cartagena	
00021	Abigiras	alcedo	pueblo	towns	Mainas	
00022	Abipi	alcedo	pueblo	towns	Nuevo Reyno de Granada	[https://www.hgis-indias.net/dokuwiki/doku.php?id=5000484]
00023	Abipones	alcedo	nación de indios	cultural groups	Tucuman	
00024	Abisca	alcedo	reyno	kingdoms	Reyno dPerú	
00025	Abismes	alcedo				
00026	Abitanis	alcedo	monte	mountains	Corregimiento de Lipes	
00027	Aeitibis	alcedo	lago	lakes		
00028	Abitigas	alcedo	pueblos y tierras indígenas		Corregimiento de Tarma	
00029	Aborigen	alcedo	puerto	ports	Brazil	
00030	Abra	alcedo	isla	islands		
00031	Abreolhos	alcedo				
00032	Abrojos	alcedo	baxo	valleys		
00034	Abucara	alcedo	pueblo	towns	Corregimiento de Lucanas	[https://www.hgis-indias.net/dokuwiki/doku.php?id=6000496]
00035	Abucees	alcedo	pueblo	towns	Quixos y Macas	
00036	Aburra	alcedo	villa	towns	Antioquía	
00037	Aca	alcedo	pueblo	towns	Nueva España	
00038	Acachxla	alcedo	pueblo	towns	Corregimiento de Yamparaes	
00039	Acacuña	alcedo	monte	mountains	Perú	
00040	Acadia	alcedo	peninsula	peninsulas		
00041	Acaguato	alcedo	pueblo	towns	Tancitaro	
00042	Acaia	alcedo	pueblo	towns	Corregimiento de Caxatambo	
00043	Acambaro	alcedo	pueblo	towns	Zelaya	[https://www.hgis-indias.net/dokuwiki/doku.php?id=1000647]
00044	Acamistlahuac	alcedo	pueblo	towns	Tasco	
00045	Acamuchitlan	alcedo	pueblo	towns	Zultepec	[https://www.hgis-indias.net/dokuwiki/doku.php?id=1001481]
00046	Acamon	alcedo	rio	rivers	Guayana ó Nueva Andalucía	
00047	Acaxuchitlan	alcedo	pueblo	towns	Tula	
00048	Acanti	alcedo	rio	rivers	Darien	
00049	Acantepec	alcedo	pueblo	towns	Tlapa	
00050	Acapala	alcedo	pueblo	towns	Chiapa	
00051	Acapazingo	alcedo	pueblo	towns	Cuernavaca	
00052	Acapetlahuaiap	alcedo			Zaqualpa	
00053	Acaponeta	alcedo	alcaldía mayor	inhabited places	Reyno de Nueva Galicia	
00054	Acapulco	alcedo	ciudad	citys		
00055	Acaraga	alcedo	rio	rivers	Paraguay	
00056	Acarai	alcedo	pueblo	towns	Paraguay	
00057	Acarai	alcedo	rio	rivers	Paraguay	
00058	Acarapu	alcedo	rio	rivers		
00059	Acari	alcedo	pueblo	towns	Corregimiento de Camaná	[https://www.hgis-indias.net/dokuwiki/doku.php?id=6000057]
00060	Acari	alcedo	punta	capes		
00061	Acari	alcedo	rio	rivers		
00062	Acari	alcedo	capitania	political administrative bodies	Brazil	
00063	Acariguap	alcedo	provincia	provinces	Venezuela	[https://www.hgis-indias.net/dokuwiki/doku.php?id=4000031]
00064	Acariguap	alcedo	rio	rivers		
00065	Acarreto	alcedo	puerto	ports	Darien	
00066	Acaruacar	alcedo			País de las Amazonas	
00067	Acassa	alcedo	rio	rivers	la Guayana	
00068	Acasabastlan	alcedo	pueblo	towns	Reyno de Goatemala	
00069	Acatepec	alcedo	pueblo	towns		
00070	Acatepec	alcedo	pueblo	towns	Cozamaloapan	
00071	Acatepec	alcedo	alcaldía mayor	inhabited places	Nexapa	
00072	Acatepec	alcedo	alcaldía mayor	inhabited places	Huamelula	
00073	Acatepec	alcedo	alcaldía mayor	inhabited places		
00074	Acatepeque	alcedo	pueblo	towns		
00075	Acatepeque	alcedo	alcaldía mayor	inhabited places	Igualapa	
00076	Acatic	alcedo	pueblo	towns	Reyno y Obispado de Nueva Galicia	
00077	Acatico	alcedo	pueblo	towns	Cuquio	
00078	Acatlan	alcedo	pueblo	towns	Xalapa	
00079	Acatlan	alcedo			Nexapa	
00080	Acatlan	alcedo	reyno	kingdoms		
00081	Acatlan	alcedo	alcaldía mayor	inhabited places	Sentipac	
00082	Acatlazingo	alcedo	pueblo	towns	Nexapa	
00083	Acatula	alcedo	pueblo	towns	Venezuela	
00084	Acaxee	alcedo	nación de indios	cultural groups		
00085	Acaxete	alcedo	pueblo	towns	Tepeaca	
00086	Acayuca	alcedo	alcaldía mayor	inhabited places		
00087	Acayuca	alcedo	pueblo	towns	Pachuca	
00088	Acacingo	alcedo	pueblo	towns	Tepeaca	
00089	Acazutla	alcedo	mar	seas	Reyno de Goatemala	
00090	Accha	alcedo	pueblo	towns	Corregimiento de Chilques y Masques	
00093	Aceites	alcedo	rio	rivers	Caracas	
00094	Acha	alcedo	monte	mountains	la Guayana	
00095	Achacache	alcedo	pueblo	towns	Corregimiento de Omasuyos	[https://www.hgis-indias.net/dokuwiki/doku.php?id=8000032]
00096	Achagua	alcedo	nación de indios	cultural groups	Nuevo Reyno de Granada	
00097	Achala	alcedo	montaña	mountains	Tucuman	
00098	Acamqui	alcedo				
00099	Achas	alcedo	pueblo	towns	Corregimiento de Guamanga	[https://www.hgis-indias.net/dokuwiki/doku.php?id=10000166]
00100	Achepe	alcedo	ensenada	inlets		
00101	Achiautla	alcedo	pueblo	towns	Tepozcolula	
00102	Achibamba	alcedo	rio	rivers	Mainas	
00103	Achinutlan	alcedo	monte	mountains	la Guayana ó Nueva Andalucía	
00104	Achira	alcedo				
00105	Achite	alcedo	rio	rivers	Provincia y Gobierno de Guayana	
00106	Achocaixa	alcedo	pueblo	towns	Perú	
00107	Achogoa	alcedo	pueblo	towns	Cinaloa	
00108	Achonga	alcedo	pueblo	towns	Corregimiento de Angaraes	
00109	Achoupekahigan	alcedo	rio	rivers		
00110	Acla	alcedo	ciudad	citys	Reyno de Tierra Firme	
00111	Acobamba	alcedo	pueblo	towns	Corregimiento de Angaraes	
00112	Acobamba	alcedo	pueblo	towns	Corregimiento de Jauja	
00113	Acobamba	alcedo	provincia	provinces	Corregimiento de Tarma	
00114	Acobambilla	alcedo	pueblo	towns	Corregimiento de Angaraes	[https://www.hgis-indias.net/dokuwiki/doku.php?id=6000600]
00115	Acochala	alcedo	monte	mountains	Corregimiento de Lipes	
00116	Acocho	alcedo	pueblo	towns	Corregimiento de Huanta	
00117	Acola	alcedo	pueblo	towns	Corregimiento de Lucanas	[https://www.hgis-indias.net/dokuwiki/doku.php?id=6000511]
00118	Acolman	alcedo	pueblo	towns	Tezcoco	[https://www.hgis-indias.net/dokuwiki/doku.php?id=1001635]
00119	Acoma	alcedo	pueblo	towns	Nuevo México	[https://www.hgis-indias.net/dokuwiki/doku.php?id=1004765]
00120	Acomack	alcedo	condado	countys		
00121	Acomaio	alcedo	pueblo	towns	Corregimiento de Huanuco	
00122	Acomaio	alcedo	pueblo	towns	Corregimiento de Quispicanchi	
00123	Acomarca	alcedo	pueblo	towns	Corregimiento de Vilcas Huaman	[https://www.hgis-indias.net/dokuwiki/doku.php?id=8000353]
00124	Acomes	alcedo	rio	rivers		
00125	Acomulco	alcedo	pueblo	towns	Nueva España	[https://www.hgis-indias.net/dokuwiki/doku.php?id=1001829]
00126	Aconcaguap	alcedo	provincia	provinces	Reyno de Chile	
00127	Aconcaguap	alcedo				
00128	Aconcaguap	alcedo	pueblo	towns		
00130	Aconchi	alcedo	pueblo	towns	Sonora	[https://www.hgis-indias.net/dokuwiki/doku.php?id=1003944]
00131	Aconichi	alcedo	pueblo	towns		
00132	Aconichi	alcedo	isla	islands		
00133	Acokquija	alcedo	cerro	mountains	Tucuman	
00134	Acopia	alcedo	pueblo	towns	Corregimiento de Quispicanchi	[https://www.hgis-indias.net/dokuwiki/doku.php?id=6000338]
00135	Acora	alcedo	pueblo	towns	Chucuito	[https://www.hgis-indias.net/dokuwiki/doku.php?id=8000200]
00136	Acori	alcedo	rio	rivers		
00137	Acoria	alcedo	pueblo	towns	Corregimiento de Angaraes	[https://www.hgis-indias.net/dokuwiki/doku.php?id=6000583]
00138	Acos	alcedo	pueblo	towns	Perú	[https://www.hgis-indias.net/dokuwiki/doku.php?id=6000339]
00139	Acos	alcedo	provincia	provinces	Corregimiento de Quispicanchi	
00140	Acosta	alcedo	pueblo	towns	Brazil	
00141	Acostamba	alcedo	pueblo	towns	Perú	[https://www.hgis-indias.net/dokuwiki/doku.php?id=6000625]
00142	Acostambo	alcedo	pueblo	towns	Corregimiento de Huanta	
