id	name	name_src	type	aat_type	close_match
00005	Abbots	alcedo	rio	river	
00006	Abacachis	alcedo	pueblos y tierras indígenas	town	
00007	Abacoa	alcedo			
00008	Abacqua	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=9000431
00009	Abacu	alcedo	cabo	cape	
00010	Abades	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=5600547
00011	Abancay	alcedo	provincia	province	
00012	Abancay	alcedo	pueblo	town	
00013	Abancay	alcedo	pueblo	town	
00014	Abanes	alcedo	people	cultural group	
00015	Abangoui	alcedo	pueblo	town	
00016	Abaranquen	alcedo	rio	river	
00017	Abecochi	alcedo	pueblos y tierras indígenas	town	
00018	Abeicas	alcedo	people	cultural group	
00019	Abercorn	alcedo	pueblo	town	
00020	Abide	alcedo	montaña	mountain	
00021	Abigiras	alcedo	pueblos y tierras indígenas	town	
00022	Abipi	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=5000484
00023	Abipones	alcedo	people	cultural group	
00024	Abisca	alcedo	reino	kingdom	
00025	Abismes	alcedo			
00026	Abitanis	alcedo	montaña	mountain	
00027	Aeitibis	alcedo	lago	lake	
00028	Abitigas	alcedo	pueblos y tierras indígenas		
00029	Aborigen	alcedo	puerto	port	
00030	Abra	alcedo	isla	island	
00031	Abreolhos	alcedo			
00032	Abrojos	alcedo	valle	valley	
00033	Abrojos	alcedo	valle	valley	
00034	Abucara	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=6000496
00035	Abucees	alcedo	pueblo	town	
00036	Aburra	alcedo	pueblo	town	
00037	Aca	alcedo	pueblo	town	
00038	Acachxla	alcedo	pueblo	town	
00039	Acacuña	alcedo	montaña	mountain	
00040	Acadia	alcedo	península	peninsula	
00041	Acaguato	alcedo	pueblo	town	
00042	Acaia	alcedo	pueblo	town	
00043	Acambaro	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=1000647
00044	Acamistlahuac	alcedo	pueblo	town	
00045	Acamuchitlan	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=1001481
00046	Acamon	alcedo	rio	river	
00047	Acaxuchitlan	alcedo	pueblo	town	
00048	Acanti	alcedo	rio	river	
00049	Acantepec	alcedo	pueblo	town	
00050	Acapala	alcedo	pueblo	town	
00051	Acapazingo	alcedo	pueblo	town	
00052	Acapetlahuaiap	alcedo			
00053	Acaponeta	alcedo	alcaldía mayor	inhabited place	
00054	Acapulco	alcedo	ciudad	city	
00055	Acaraga	alcedo	rio	river	
00056	Acarai	alcedo	pueblo	town	
00057	Acarai	alcedo	rio	river	
00058	Acarapu	alcedo	rio	river	
00059	Acari	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=6000057
00060	Acari	alcedo	cabo	cape	
00061	Acari	alcedo	rio	river	
00062	Acari	alcedo	capitania	political administrative body	
00063	Acariguap	alcedo	provincia	province	https://www.hgis-indias.net/dokuwiki/doku.php?id=4000031
00064	Acariguap	alcedo	rio	river	
00065	Acarreto	alcedo	puerto	port	
00066	Acaruacar	alcedo			
00067	Acassa	alcedo	rio	river	
00068	Acasabastlan	alcedo	pueblo	town	
00069	Acatepec	alcedo	pueblo	town	
00070	Acatepec	alcedo	pueblo	town	
00071	Acatepec	alcedo	alcaldía mayor	inhabited place	
00072	Acatepec	alcedo	alcaldía mayor	inhabited place	
00073	Acatepec	alcedo	alcaldía mayor	inhabited place	
00074	Acatepeque	alcedo	pueblo	town	
00075	Acatepeque	alcedo	alcaldía mayor	inhabited place	
00076	Acatic	alcedo	pueblo	town	
00077	Acatico	alcedo	pueblo	town	
00078	Acatlan	alcedo	pueblo	town	
00079	Acatlan	alcedo			
00080	Acatlan	alcedo	reino	kingdom	
00081	Acatlan	alcedo	alcaldía mayor	inhabited place	
00082	Acatlazingo	alcedo	pueblo	town	
00083	Acatula	alcedo	pueblo	town	
00084	Acaxee	alcedo	people	cultural group	
00085	Acaxete	alcedo	pueblo	town	
00086	Acayuca	alcedo	alcaldía mayor	inhabited place	
00087	Acayuca	alcedo	pueblo	town	
00088	Acacingo	alcedo	pueblo	town	
00089	Acazutla	alcedo	mar	sea	
00090	Accha	alcedo	pueblo	town	
00091	Accha	alcedo	pueblo	town	
00092	Accha	alcedo	pueblo	town	
00093	Aceites	alcedo	rio	river	
00094	Acha	alcedo	montaña	mountain	
00095	Achacache	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=8000032
00096	Achagua	alcedo	people	cultural group	
00097	Achala	alcedo	montaña	mountain	
00098	Acamqui	alcedo			
00099	Achas	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=10000166
00100	Achepe	alcedo	bahía	inlet	
00101	Achiautla	alcedo	pueblo	town	
00102	Achibamba	alcedo	rio	river	
00103	Achinutlan	alcedo	montaña	mountain	
00104	Achira	alcedo			
00105	Achite	alcedo	rio	river	
00106	Achocaixa	alcedo	pueblo	town	
00107	Achogoa	alcedo	pueblo	town	
00108	Achonga	alcedo	pueblo	town	
00109	Achoupekahigan	alcedo	rio	river	
00110	Acla	alcedo	ciudad	city	
00111	Acobamba	alcedo	pueblo	town	
00112	Acobamba	alcedo	pueblo	town	
00113	Acobamba	alcedo	provincia	province	
00114	Acobambilla	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=6000600
00115	Acochala	alcedo	montaña	mountain	
00116	Acocho	alcedo	pueblo	town	
00117	Acola	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=6000511
00118	Acolman	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=1001635
00119	Acoma	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=1004765
00120	Acomack	alcedo	condado	county	
00121	Acomaio	alcedo	pueblo	town	
00122	Acomaio	alcedo	pueblo	town	
00123	Acomarca	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=8000353
00124	Acomes	alcedo	rio	river	
00125	Acomulco	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=1001829
00126	Aconcaguap	alcedo	provincia	province	
00127	Aconcaguap	alcedo			
00128	Aconcaguap	alcedo	pueblo	town	
00129	Aconcaguap	alcedo			
00130	Aconchi	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=1003944
00131	Aconichi	alcedo	pueblos y tierras indígenas	town	
00132	Aconichi	alcedo	isla	island	
00133	Acokquija	alcedo	montaña	mountain	
