id	title	name_src	variants	type	aat_type	ccodes	lon	lat	min	max
1	Κωνσταντινούπολη (Kōnstantinoupolē)	ali-pasha	Πόλη, Βασιλεύουoa, Constantinopoli	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	28.94966	41.01384	1780	1820
2	Πρέβεζα (Prebeza)	ali-pasha	Prevesa	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.7505	38.95617	1780	1820
3	Άργυρόκαστρο (Argyrokastro)	ali-pasha	Κάστρο, Άργυρούκαστρο, Ραγυρούκαστρο	province	provinces	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.13889	40.07583	1780	1820
4	Γαλλίαγαλλικός (Galliagallikos)	ali-pasha	Φράντζα, Φράνφα, Φραγκιά, Φαργκιά, Φιράντζα, Francia	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	2	47	1780	1820
5	Λάρισα (Larisa)	ali-pasha	Λάρσα, Λάρσι, Γενί Σερή, Γενί Σεχέρ, Γενισεχερί, Γενισεγήρ	province	provinces	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.41761	39.63689	1780	1820
6	Μπεράτι (Mperati)	ali-pasha	Περάτι, Βεράτι	province	provinces	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	19.95	40.7	1780	1820
7	Τρίκαλα (Trikala)	ali-pasha	Τρίκαλο, Τίρχαλα	province	provinces	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.766667	39.55	1780	1820
8	Τύρναβος (Tyrnabos)	ali-pasha	Τίρναβος, Τούρναβος	province	provinces	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.283333	39.733333	1780	1820
9	Άγγλία-άγγλικός (Anglia-anglikos)	ali-pasha	Έγκλετέρα, Ίγγλιτέρα, Έγγλιτέρα	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	-0.70312	52.16045	1780	1820
10	Σούλι (Souli)	ali-pasha		province	provinces	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.633333	39.366667	1780	1820
11	Ρωσία (Rōsia)	ali-pasha	Ρουσία, Μόσχοβος, Russia	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	90	60	1780	1820
12	Κέρκυρακερκυραϊκός (Kerkyrakerkyraikos)	ali-pasha	Κορφοί, Corfou , Corfu	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	19.91975	39.62069	1780	1820
13	Ἄρτα (Arta)	ali-pasha		province	provinces	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.98561	39.16014	1780	1820
14	Πάργα (Parga)	ali-pasha	Parga	province	provinces	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.4	39.283333	1780	1820
15	Τουρκίατουρκικός (Tourkiatourkikos)	ali-pasha	Turchia	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	35	39	1780	1820
16	Αλβανία (Albania)	ali-pasha	Albania	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20	41	1780	1820
17	Τσαμουριά (Tsamouria)	ali-pasha	Τζαμουριά, Τζαμουργιά	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.397128	39.507448	1780	1820
18	Ναύπακτος (Naupaktos)	ali-pasha	Ίνέμπαχτος, Νέπαχτος, Άνέμπαχτος, Ἔμπαχτος, Ἔπαχτος	province	provinces	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.830556	38.393889	1780	1820
19	Τεπελένι (Tepeleni)	ali-pasha		subdistrict	districts	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.016667	40.3	1780	1820
20	Δέλβινο (Delbino)	ali-pasha	Ντέλβινο, Τέλβινο	province	provinces	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.1	39.95	1780	1820
21	Παραμυθιά (Paramythia)	ali-pasha	Παραμυδιγιά	province	provinces	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.503567	39.466667	1780	1820
22	Πέπελη (Pepelē)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.32944	39.87139	1780	1820
23	Πελοπόννησος (Peloponnēsos)	ali-pasha	Μοριάς, Μόργια	province	provinces	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.352222	37.349722	1780	1820
24	Ρωμιοί (Rōmioi)	ali-pasha	Ρωμαΐοι, Ρωμαΐγοι, Ρωμήγοι, Ρουμαΐοι, Ρωμνοί	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22	39	1780	1820
25	Κάρλελι (Karleli)	ali-pasha	Κάρελι	subdistrict	districts	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.4167	38.6667	1780	1820
26	Θεσσαλονίκη (Thessalonikē)	ali-pasha	Σαλενίκ, Σαλονίκη, Σολονίκη, Σελανίκι, Σελενίκι, Σελανίχι	district	districts	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.9	40.65	1780	1820
27	Πατρατζίκι (Patratziki)	ali-pasha	Πατραντζίκι	subdistrict	districts	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.233333	38.866667	1780	1820
28	Ελασσόνα (Elassona)	ali-pasha	Άλασσόνα, Άλιασσόνα	province	provinces	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.183333	39.883333	1780	1820
29	Καράφερη (Karapherē)	ali-pasha	Καραφέρια, Καράφερε, Βέροια, Βέργιαβεργώτικο	subdistrict	districts	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.2	40.516667	1780	1820
30	Αυλώνα (Aulōna)	ali-pasha	Αύλώνια, Βλιόρα, Vliores, Valona	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	19.485	40.465	1780	1820
31	Βόνιτσα (Bonitsa)	ali-pasha	Βόνισα, Βόνιτζα, Βόντζα, Vonizza	province	provinces	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.883333	38.916667	1780	1820
32	Θεσσαλία (Thessalia)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.2	39.6	1780	1820
33	Ἄγραφα (Agrapha)	ali-pasha		subdistrict	districts	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.63805	39.00442	1780	1820
34	Καρπενήσι (Karpenēsi)	ali-pasha	Καρεπενέσι, Καρπενέσι	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.783333	38.916667	1780	1820
35	Λιβαδειά (Libadeia)	ali-pasha	Λεβαδεία, Λιβάντι	subdistrict	districts	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.866667	38.433333	1780	1820
36	Μπιτόλια (Mpitolia)	ali-pasha	Μπετόλια, Πιτόλια, Πιτόλιγια, Μοναστήρι, Μαναστήρι	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.334722	41.031944	1780	1820
37	Αλμυρός (Almyros)	ali-pasha	Άρμυρός, Άρμερό	province	provinces	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.76	39.18	1780	1820
38	Ήπειρος (Ēpeiros)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.71472	39.23651	1780	1820
39	Σάλωνα (Salōna)	ali-pasha		province	provinces	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.366667	38.533333	1780	1820
40	Πρεμετή (Premetē)	ali-pasha	Περμετή, Πηρμέτι	subdistrict	districts	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.35	40.233333	1780	1820
41	Ζαγόρι (Zagori)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.7	39.866667	1780	1820
42	Μεσολόγγι (Mesolongi)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.433333	38.383333	1780	1820
43	Πάτρα (Patra)	ali-pasha		subdistrict	districts	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.733333	38.25	1780	1820
44	Μαργαρίτι (Margariti)	ali-pasha	Ντάγι, Τάγι, Τάι, Ντέγι	subdistrict	districts	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.416667	39.366667	1780	1820
45	Έλμπασάν (Elmpasan)	ali-pasha	Έλμπασάνι, Έλπασάνι, Έλπεσάνι	province	provinces	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.080556	41.111111	1780	1820
46	Βουδρωτό (Boudrōto)	ali-pasha	Βουζηντρό, Βουδρωντό, Μπουιζιντρό, Butrinto, Butintro, Βιβάρι, Λιβάρι, Διβάρι, Τιβάρι	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.020278	39.746111	1780	1820
47	Βραχώρι (Brachōri)	ali-pasha	Άγρίνιο	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.4	38.616667	1780	1820
48	Σόφια (Sophia)	ali-pasha	Σόφιγια	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	23.333333	42.7	1780	1820
49	Επτάνησα (Eptanēsa)	ali-pasha	Επτά Νησία, Έπτά Νήσοι, Έπτάνησος	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.333333	38.666667	1780	1820
50	Γαρδίκι (Gardiki)	ali-pasha	Καρδίκι	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.0275	40.121667	1780	1820
51	Περλεπές (Perlepes)	ali-pasha	Πέρλεπη, Πηρληπή, Πηρλεπές	subdistrict	districts	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.552778	41.344444	1780	1820
52	Σκόδρα (Skodra)	ali-pasha	Σκόντρα, Σκότρα, Σκεντερέ, Ίσκεντεριγιέ, Scutari	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	19.5	42.066667	1780	1820
53	Φράστανη (Phrastanē)	ali-pasha	Φραστανή	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.233333	39.966667	1780	1820
